Address,Balance,lastTxHeightOnCosmosHub
juno1qxznrpeural0ptrwatj5srgqej9tjd5tdyc89y,27.8,7727723
juno1qxeqeuhxs948nqxsf5wsez3hutka956lqvx6mt,7.92,9282235
juno1q85l3gkkzxc40zn5sud93urtl637sjvllhveut,33.32,Inactive
juno1q8jcs9eafrjln4x4ztag5mvyksfyu6tm7qlu3s,37.72,Inactive
juno1qgqxfsekun9y9h7ru5qrj3vc9pht6h7ck065ky,114.34,Inactive
juno1q8m0da4gfj3suyk88plcfdcr6h82aswqjvmm2w,40.29,Inactive
juno1q8n0vslde7v63meu3tgdwwsczl0gl2qwaf6uc8,2.22,Inactive
juno1q8tjqrrlnefxhzdcynv623f02cp7frdfpgkjp2,1.0,Inactive
juno1q8leek3f3zfrglvtrp60slzu3vv242tdzpkqut,1.42,9328508
juno1q8t7sgsx9sz9crftngw2ajh7x5e5t0kw0rp98z,10.92,12695031
juno1q8g2cmvhm9ldep0zxm79f0l4fm3ask2l04lxqw,2.23,5372517
juno1q802ezsmkx0999garftlpzcdjwvawz6z3u8vn2,13.54,5517441
juno1q8yd8zexjyakpeftp7u2wftlsfcc67cwxa4tyx,9.94,12515109
juno1q8m5w7l89phhrplztrqe7zalwlwv85fxf8gdgx,0.08,6166790
juno1qg9kzl8vpf8tv2x780yfdfaq92nukg3x3sn263,114.35,9736847
juno1qgzd5ha2hee8yyk643qrtj4xunrx3q95qsgwew,302.19,12450504
juno1qgqwgwafn6l6mahlgwv7hzg4kn6t07z3hraqey,11.95,12548004
juno1q8u9h3ex5ql34g0pc8n8edfh2xa6cmqjtltau2,4.97,12084538
juno1qgp8syqgksrdex6pg7j4s2ay6unl87h504kd5y,14.99,5827675
juno1q83yfreqye743veeu0p9j3cm7vl9agaqmy7w8u,18.16,6039922
juno1q8vcr7j29cskm6egyt7pw642ssh0a2s6pse9wd,4.24,7121681
juno1q8eh20gwyzd3vayg74h8skwv9x72530gjhqmrx,3.81,7816005
juno1qgz63x9efhcfa36z8uq2z06r0lvhzkrtgfx5mj,1.0,10707626
juno1q8eumgvy0rg33szu542qr4y5vw3a4dsnyhxhll,10.0,12545193
juno1q87p70nm9rcpn7lca2qznkdwlq3dzzhjdp7mcg,205.99,10018074
juno1q80qhs5vz0rhgg2x42dvlkkkg7ed2pwwyadves,106.14,12537024
juno1q8alg77ljlcsyt2w38cusq6454e6n4zt6q3g37,28.61,6340259
juno1q8t706ecz4m6wzxd2gx9r54598htm80tnn0qur,171.03,6990417
juno1qg9e7lvsyhug5emk8uz6jjxfd83etwu7m42yup,85.98,12433116
juno1q80nfcu6dg9dpahzr9mhsklz84acj4mflm70sw,9.95,9183696
juno1qg97evwwz8hj9lr66sqesswjgn38eg07gyz34c,150.95,12060368
juno1q8thtvssvr2vwmjzm8s335zkt9d55an4lrlcgj,70.41,6033004
juno1q8l9npvtt3kewajqxpypqfr3slpvvdcwn2zhpu,50.95,8276411
juno1q8xw3c43t74aq4nyfadx9fpl4t7f9lkpp77fan,33.02,7558411
juno1q8gtv3kqerd9dmun6y77xflgay45kg7s63l2e5,48.52,5524330
juno1qggwwtjvkw4upel8mfg8kxaz380kcmxudg63u8,5.28,12538307
